Name,Price,Type,Inspiration Category,Product URL
Ika® the Tentacle,70.0,insertable,Tentacle / Alien,https://bad-dragon.com/products/ika
Vergil the Drippy Dragon,90.0,insertable,Mythological,https://bad-dragon.com/products/vergil
Nøkken the Hippocampus®,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/nokken
Duke the Bad Dragon®,70.0,insertable,Mythological,https://bad-dragon.com/products/duke
Duke's Muzzle,110.0,penetrable,Other / Miscellaneous,https://bad-dragon.com/products/dukemuzzle
David's Paw®,150.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/davidpaw
Slater® the Stone Wyvern,70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/slater
Flint® the Uncut Studded Dragon Rideable,115.0,rideable,Mythological,https://bad-dragon.com/products/rideflint
Alice the Bunny,110.0,penetrable,Tentacle / Alien,https://bad-dragon.com/products/alice
Spritz the Seadragon®,90.0,insertable,Mythological,https://bad-dragon.com/products/spritz
Cockatrice Lil' Squirt,45.0,shooter,Accessory / Non-toy,https://bad-dragon.com/products/lilcockatrice
Taurion the Minotaur®,70.0,insertable,Mythological,https://bad-dragon.com/products/taurion
Archer™ (Uncut),70.0,insertable,Other / Miscellaneous,https://bad-dragon.com/products/archeruncut
